Transect,Tin,Air-Dried Soil (~10 g),Air Dried Soil + Tin ,Dry Soil + Tin (105C for 40 hrs),Water Lost,Oven-Dried Soil,RC1 (Blank),Temp (Blank),R Sand (40 seconds),Temp (Sand),RC2 (Blank),Temp (Blank),R Clay (6 hours),Temp (Clay),% Sand,% Clay,% Silt
SPR-C-T4,1.14,10,11.14,10.98,0.16,39.4,4,23.1,15,24.9,4,23.9,10,24.2,72.1,15.2,12.7
SPR-C-T5,1.56,10,11.56,11.17,0.39,38.4,4,23.1,23,24.9,4,23.9,14,24.2,50.6,26.0,23.4
TKR-C-T1,1.45,9.98,11.43,11.1,0.33,38.7,3,22.7,36,24,4,22.4,20,22.7,14.7,41.4,44.0
TKR_C_T2,1.33,10,11.33,10.88,0.45,38.2,3,24.2,30,24.1,3,23.6,19,23.8,29.3,41.9,28.8
TKR_C_T3,1.48,10,11.48,11.04,0.44,38.2,3,24.2,34,24.1,3,23.6,21,23.8,18.9,47.1,34.0
TKR_C_T4,1.45,10.01,11.46,11.08,0.38,38.5,3,24.2,36,24.1,3,23.6,18,23.8,14.2,39.0,46.8
TKR-C-T5,1.12,10.1,11.22,10.8,0.42,38.3,3,22.7,37,24,4,22.4,18,22.9,11.3,36.5,52.2
TKR-B-T1,1.56,10,11.56,11.24,0.32,38.7,1,23,33,22.9,1,22.3,17,22.5,17.4,41.3,41.3
TKR-B-T2,1.24,10,11.24,10.93,0.31,38.8,2,22.9,31,23,1,22.3,18,22.7,25.2,43.9,31.0
TKR-B-T3,1.14,9.99,11.13,10.72,0.41,38.4,1,22.9,30,23,1,22.3,20,22.5,24.4,49.5,26.1
TKR-B-T4,1.51,10,11.51,11.06,0.45,38.2,1,22.9,33,23,1,22.3,21,22.6,16.2,52.4,31.4
TKR-B-T5,1.47,10.01,11.48,11.05,0.43,38.3,1,23,29,23,1,22.3,16,22.6,26.9,39.2,34.0
WR-B-T1 (PLOT 13),1.04,10.03,11.07,10.89,0.18,39.3,4,23.6,22,24,4,22.9,12,23.1,54.2,20.4,25.5
WR-B-T2 (PLOT 13) ,1.14,10,11.14,10.92,0.22,39.1,4,23.6,23,24.3,4,22.9,15,23.2,51.4,28.1,20.4
WR-B-T3 (PLOT 13),1.13,10,11.13,10.94,0.19,39.2,4,23.6,20,24.7,4,23,13,23.2,59.2,22.9,17.8
WR-B-T4 (PLOT 13),1.24,9.99,11.23,10.96,0.27,38.9,4,23.6,18,24.8,4,22.9,11,23.3,64.0,18.0,18.0
WR-B-T5 (PLOT 13),1.22,9.98,11.2,10.93,0.27,38.9,4,23.6,19,24.9,4,22.8,13,23.4,61.5,23.1,15.4
WR-C-T1 (PLOT 13),1.57,10,11.57,11.3,0.27,38.9,4,23.6,23,24.8,4,22.9,14,23.1,51.2,25.7,23.1
WR-C-T2 (PLOT 13),1.65,10,11.65,11.39,0.26,39.0,4,23.6,21,25,4,22.9,12,23.2,56.4,20.5,23.1
WR-C-T3 (PLOT 13) ,1.49,9.99,11.48,11.27,0.21,39.2,4,23.7,20,25.1,4,23,15,23.2,59.1,28.1,12.8
