Year,Site,Transect_ID,Treatment,Transect,Sample,dry_weight,Roots_g_per_m2
2024,WR5,WR5_C_T2,Control,2,45,0.55,280.11
2024,WR5,WR5_C_T3,Control,3,15,0.34,173.16
2024,WR5,WR5_C_T3,Control,3,30,0.02,10.19
2024,WR5,WR5_C_T3,Control,3,45,0.1,50.93
2024,WR5,WR5_C_T4,Control,4,15,0.53,269.93
2024,WR5,WR5_C_T4,Control,4,30,1.81,921.83
2024,WR5,WR5_C_T4,Control,4,45,0.89,453.27
2024,WR5,WR5_C_T5,Control,5,15,2,"1,018.59"
2024,WR5,WR5_C_T5,Control,5,30,0.33,168.07
2024,WR5,WR5_C_T5,Control,5,45,1.1,560.23
2024,WR13,WR13_B_T1,Burn,1,15,2.86,"1,456.59"
2024,WR13,WR13_B_T1,Burn,1,30,0.36,183.35
2024,WR13,WR13_B_T1,Burn,1,45,0.82,417.62
2024,WR13,WR13_B_T2,Burn,2,15,0.85,432.9
2024,WR13,WR13_B_T2,Burn,2,30,2.54,"1,293.61"
2024,WR13,WR13_B_T2,Burn,2,45,2.88,"1,466.77"
2024,WR13,WR13_B_T3,Burn,3,15,4.12,"2,098.30"
2024,WR13,WR13_B_T3,Burn,3,30,0.9,458.37
2024,WR13,WR13_B_T3,Burn,3,45,1.34,682.46
2024,WR13,WR13_B_T4,Burn,4,15,2.94,"1,497.33"
2024,WR13,WR13_B_T4,Burn,4,30,5.32,"2,709.45"
2024,WR13,WR13_B_T4,Burn,4,45,2.19,"1,115.36"
2024,WR13,WR13_B_T5,Burn,5,15,3.42,"1,741.79"
2024,WR13,WR13_B_T5,Burn,5,30,2.05,"1,044.06"
2024,WR13,WR13_B_T5,Burn,5,45,0.89,453.27
2024,WR13,WR13_C_T1,Control,1,15,0.91,463.46
2024,WR13,WR13_C_T1,Control,1,30,0.76,387.06
2024,WR13,WR13_C_T1,Control,1,45,0.75,381.97
2024,WR13,WR13_C_T2,Control,2,15,0.82,417.62
2024,WR13,WR13_C_T2,Control,2,30,0.27,137.51
2024,WR13,WR13_C_T2,Control,2,45,0.3,152.79
2024,WR13,WR13_C_T3,Control,3,15,0.22,112.05
2024,WR13,WR13_C_T3,Control,3,30,0.02,10.19
2024,WR13,WR13_C_T3,Control,3,45,0.1,50.93
2024,WR13,WR13_C_T4,Control,4,15,0.16,81.49
2024,WR13,WR13_C_T4,Control,4,30,0.09,45.84
2024,WR13,WR13_C_T4,Control,4,45,2.55,"1,298.70"
2024,WR13,WR13_C_T5,Control,5,15,3.8,"1,935.32"
2024,WR13,WR13_C_T5,Control,5,30,3.82,"1,945.51"
2024,WR13,WR13_C_T5,Control,5,45,0.65,331.04
2024,CSR,CSR_B_T1,Burn,1,15,0.23,117.14
2024,CSR,CSR_B_T1,Burn,1,30,0.48,244.46
2024,CSR,CSR_B_T1,Burn,1,45,0.31,157.88
2024,CSR,CSR_B_T2,Burn,2,15,0.19,96.77
2024,CSR,CSR_B_T2,Burn,2,30,0.46,234.28
2024,CSR,CSR_B_T2,Burn,2,45,0.29,147.7
2024,CSR,CSR_B_T3,Burn,3,15,2.05,"1,044.06"
2024,CSR,CSR_B_T3,Burn,3,30,1.94,988.03
2024,CSR,CSR_B_T3,Burn,3,45,1.54,784.32
