Year,Site,Transect_ID,Cover_Class,5,10,15,20,25,30,35,40,45,50,NPS_Severity
2024,MF,MF_B_T3,Gopher_Hole,0,12.5,0,0,0,0,0,0,0,0,
2024,MF,MF_B_T3,Gopher_Mound,0,12.5,0,0,0,0,0,0,0,0,
2024,MF,MF_B_T4,Black,7,5,0,12.5,5,1,10,6,5,12.5,scorched/lightly
2024,MF,MF_B_T4,Dried_Unburned,37.5,52.5,32.5,82.5,67.5,47.5,17.5,22.5,57.5,47.5,
2024,MF,MF_B_T4,Living_Green,0,0,0,0,0,0,0,0,0,0,
2024,MF,MF_B_T4,New_Green,0,0,1,2,0,3,0,0,5,0,
2024,MF,MF_B_T4,Bare_Ground,62.5,47.5,32.5,10,32.5,57.5,47.5,82.5,37.5,32.5,
2024,MF,MF_B_T4,Gopher_Hole,0,2,5,0,0,0,0,0,0,5,
2024,MF,MF_B_T4,Gopher_Mound,0,0,37.5,0,0,0,32.5,0,0,10,
2024,MF,MF_B_T5,Black,5,10,0,10,10,10,5,7,3,12.5,?
2024,MF,MF_B_T5,Dried_Unburned,37.5,47.5,17.5,37.5,62.5,47.5,67.5,57.5,47.5,42.5,
2024,MF,MF_B_T5,Living_Green,0,0,0,0,0,0,0,0,0,0,
2024,MF,MF_B_T5,New_Green,17.5,12.5,27.5,5,5,0,3,1,12.5,1,
2024,MF,MF_B_T5,Bare_Ground,47.5,37.5,32.5,52.5,27.5,37.5,37.5,42.5,52.5,42.5,
2024,MF,MF_B_T5,Gopher_Hole,0,0,5,0,0,0,0,0,0,0,
2024,MF,MF_B_T5,Gopher_Mound,0,0,27.5,0,0,10,0,0,0,10,
2024,WR13,WR13_B_T1,Black,87.5,87.5,37.5,77.5,87.5,72.5,82.5,92.5,77.5,87.5,moderate
2024,WR13,WR13_B_T1,Dried_Unburned,5,5,10,17.5,0,3,12.5,2,5,10,
2024,WR13,WR13_B_T1,Living_Green,0,0,0,0,0,0,0,0,0,0,
2024,WR13,WR13_B_T1,New_Green,0,0,1,0,0,0,0,0,0,0,
2024,WR13,WR13_B_T1,Bare_Ground,10,10,47.5,0,12.5,17.5,0,7,17.5,2,
2024,WR13,WR13_B_T1,Gopher_Hole,0,0,0,0,0,3,0,0,0,0,
2024,WR13,WR13_B_T1,Gopher_Mound,0,0,0,0,0,0,0,0,0,0,
2024,WR13,WR13_B_T2,Black,82.5,72.5,62.5,67.5,85,77.5,87.5,67.5,42.5,37.5,moderate
2024,WR13,WR13_B_T2,Dried_Unburned,12.5,12.5,27.5,17.5,6,3,4,4,10,12.5,
2024,WR13,WR13_B_T2,Living_Green,0,0,0,0,0,0,0,0,0,0,
2024,WR13,WR13_B_T2,New_Green,0,5,6,3,4,2,0,0,0,0,
2024,WR13,WR13_B_T2,Bare_Ground,5,5,0,12.5,0,12.5,7.5,27.5,15,47.5,
2024,WR13,WR13_B_T2,Gopher_Hole,0,0,0,0,0,0,0,0,7,0,
2024,WR13,WR13_B_T2,Gopher_Mound,0,0,0,0,0,0,0,0,22.5,0,
2024,WR13,WR13_B_T3,Black,52.5,77.5,77.5,52.5,87.5,62.5,52.5,22.5,37.5,62.5,light-moderate
2024,WR13,WR13_B_T3,Dried_Unburned,37.5,7,17.5,32.5,10,10,37.5,37.5,12.5,12.5,
2024,WR13,WR13_B_T3,Living_Green,0,0,0,0,0,0,0,0,0,0,
